scenario,time,cw_coherence,pulse_coherence,cw_population,pulse_population
excellent_qubit,140.468,0.00008503,0.01231967,0.00000000,0.00000000
excellent_qubit,140.970,0.00035619,0.01320836,0.00000000,0.00000000
excellent_qubit,141.472,0.00223288,0.01314226,0.00000000,0.00000000
excellent_qubit,141.973,0.00150456,0.01307650,0.00000000,0.00000000
excellent_qubit,142.475,0.00191745,0.01301106,0.00000000,0.00000000
excellent_qubit,142.977,0.00012166,0.01294595,0.00000000,0.00000000
excellent_qubit,143.478,0.00041371,0.01288117,0.00000000,0.00000000
excellent_qubit,143.980,0.00224365,0.01281671,0.00000000,0.00000000
excellent_qubit,144.482,0.00150930,0.01275257,0.00000000,0.00000000
excellent_qubit,144.983,0.00187096,0.01268869,0.00000000,0.00000000
excellent_qubit,145.485,0.00015881,0.01262495,0.00000000,0.00000000
excellent_qubit,145.987,0.00047034,0.01256164,0.00000000,0.00000000
excellent_qubit,146.488,0.00225358,0.01249886,0.00000000,0.00000000
excellent_qubit,146.990,0.00151248,0.01243654,0.00000000,0.00000000
excellent_qubit,147.492,0.00182391,0.01237444,0.00000000,0.00000000
excellent_qubit,147.993,0.00019646,0.01231252,0.00000000,0.00000000
excellent_qubit,148.495,0.00052604,0.01225091,0.00000000,0.00000000
excellent_qubit,148.997,0.00226265,0.01218960,0.00000000,0.00000000
excellent_qubit,149.498,0.00151411,0.01212860,0.00000000,0.00000000
excellent_qubit,150.000,0.00177633,0.01206518,0.00000000,0.00000000
good_qubit,0.000,0.00000000,0.00000000,0.00000000,0.00000000
good_qubit,0.503,0.00359105,0.01074537,0.00000000,0.00000000
good_qubit,1.005,0.00132744,0.01060717,0.00000000,0.00000000
good_qubit,1.508,0.00131312,0.01047475,0.00000000,0.00000000
good_qubit,2.010,0.00351549,0.01034398,0.00000000,0.00000000
good_qubit,2.513,0.00011966,0.01021484,0.00000000,0.00000000
good_qubit,3.015,0.00349234,0.01008732,0.00000000,0.00000000
good_qubit,3.518,0.00118343,0.00996139,0.00000000,0.00000000
good_qubit,4.020,0.00119840,0.00983702,0.00000000,0.00000000
good_qubit,4.523,0.00340484,0.00971419,0.00000000,0.00000000
good_qubit,5.025,0.00023189,0.00959289,0.00000000,0.00000000
good_qubit,5.528,0.00335515,0.00947310,0.00000000,0.00000000
good_qubit,6.030,0.00110834,0.00935480,0.00000000,0.00000000
good_qubit,6.533,0.00107666,0.00923798,0.00000000,0.00000000
good_qubit,7.035,0.00329444,0.00912261,0.00000000,0.00000000
good_qubit,7.538,0.00033960,0.00900868,0.00000000,0.00000000
good_qubit,8.040,0.00324913,0.00889617,0.00000000,0.00000000
good_qubit,8.543,0.00097224,0.00878506,0.00000000,0.00000000
good_qubit,9.045,0.00095946,0.00867535,0.00000000,0.00000000
good_qubit,9.548,0.00320130,0.00856700,0.00000000,0.00000000
good_qubit,10.050,0.00044548,0.00846001,0.00000000,0.00000000
good_qubit,10.553,0.00314026,0.00835436,0.00000000,0.00000000
good_qubit,11.055,0.00090966,0.00825003,0.00000000,0.00000000
good_qubit,11.558,0.00086679,0.00814700,0.00000000,0.00000000
good_qubit,12.060,0.00310908,0.00804527,0.00000000,0.00000000
good_qubit,12.563,0.00054020,0.00794481,0.00000000,0.00000000
good_qubit,13.065,0.00304229,0.00784560,0.00000000,0.00000000
good_qubit,13.568,0.00082557,0.00774764,0.00000000,0.00000000
good_qubit,14.070,0.00076911,0.00765091,0.00000000,0.00000000
good_qubit,14.573,0.00302269,0.00755539,0.00000000,0.00000000
good_qubit,15.075,0.00062801,0.00746107,0.00000000,0.00000000
good_qubit,15.578,0.00295010,0.00736793,0.00000000,0.00000000
good_qubit,16.080,0.00074861,0.00727595,0.00000000,0.00000000
good_qubit,16.583,0.00068011,0.00718513,0.00000000,0.00000000
good_qubit,17.085,0.00293943,0.00709545,0.00000000,0.00000000
good_qubit,17.588,0.00073409,0.00700689,0.00000000,0.00000000
good_qubit,18.090,0.00286989,0.00691944,0.00000000,0.00000000
good_qubit,18.593,0.00067472,0.00683308,0.00000000,0.00000000
good_qubit,19.095,0.00057689,0.00674781,0.00000000,0.00000000
good_qubit,19.598,0.00287633,0.00666360,0.00000000,0.00000000
good_qubit,20.101,0.00079465,0.00658044,0.00000000,0.00000000
good_qubit,20.603,0.00279186,0.00649833,0.00000000,0.00000000
good_qubit,21.106,0.00059880,0.00641724,0.00000000,0.00000000
good_qubit,21.608,0.00050077,0.00633717,0.00000000,0.00000000
good_qubit,22.111,0.00279940,0.00625810,0.00000000,0.00000000
good_qubit,22.613,0.00086576,0.00618001,0.00000000,0.00000000
good_qubit,23.116,0.00274666,0.00610290,0.00000000,0.00000000
good_qubit,23.618,0.00053055,0.00602675,0.00000000,0.00000000
good_qubit,24.121,0.00042057,0.00595155,0.00000000,0.00000000
good_qubit,24.623,0.00272882,0.00587729,0.00000000,0.00000000
good_qubit,25.126,0.00092797,0.00580395,0.00000000,0.00000000
good_qubit,25.628,0.00262729,0.00573152,0.00000000,0.00000000
good_qubit,26.131,0.00048244,0.00566000,0.00000000,0.00000000
good_qubit,26.633,0.00034853,0.00558936,0.00000000,0.00000000
good_qubit,27.136,0.00267751,0.00551960,0.00000000,0.00000000
good_qubit,27.638,0.00099479,0.00545070,0.00000000,0.00000000
good_qubit,28.141,0.00255817,0.00538266,0.00000000,0.00000000
good_qubit,28.643,0.00043572,0.00531546,0.00000000,0.00000000
good_qubit,29.146,0.00027693,0.00524910,0.00000000,0.00000000
good_qubit,29.648,0.00261320,0.00518355,0.00000000,0.00000000
good_qubit,30.151,0.00105020,0.00511883,0.00000000,0.00000000
good_qubit,30.653,0.00249435,0.00505490,0.00000000,0.00000000
good_qubit,31.156,0.00037636,0.00499177,0.00000000,0.00000000
good_qubit,31.658,0.00021397,0.00492943,0.00000000,0.00000000
good_qubit,32.161,0.00255868,0.00486787,0.00000000,0.00000000
good_qubit,32.663,0.00113707,0.00480707,0.00000000,0.00000000
good_qubit,33.166,0.00244670,0.00474703,0.00000000,0.00000000
good_qubit,33.668,0.00030723,0.00468774,0.00000000,0.00000000
good_qubit,34.171,0.00015988,0.00462919,0.00000000,0.00000000
good_qubit,34.673,0.00249750,0.00457137,0.00000000,0.00000000
good_qubit,35.176,0.00116762,0.00451428,0.00000000,0.00000000
good_qubit,35.678,0.00238908,0.00445790,0.00000000,0.00000000
good_qubit,36.181,0.00025995,0.00440222,0.00000000,0.00000000
good_qubit,36.683,0.00010714,0.00434724,0.00000000,0.00000000
good_qubit,37.186,0.00245311,0.00429296,0.00000000,0.00000000
good_qubit,37.688,0.00122083,0.00423935,0.00000000,0.00000000
good_qubit,38.191,0.00234311,0.00418641,0.00000000,0.00000000
good_qubit,38.693,0.00020204,0.00413413,0.00000000,0.00000000
good_qubit,39.196,0.00003908,0.00408251,0.00000000,0.00000000
good_qubit,39.698,0.00241258,0.00403154,0.00000000,0.00000000
