time_us,gaussian_soft_entanglement,gaussian_soft_purity,gaussian_soft_leakage,DRAG_aggressive_entanglement,DRAG_aggressive_purity,DRAG_aggressive_leakage,chirped_brutal_entanglement,chirped_brutal_purity,chirped_brutal_leakage,bang_bang_entanglement,bang_bang_purity,bang_bang_leakage
2.661,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000
2.711,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000
2.762,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000
2.812,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000
2.862,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000
2.912,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000
2.962,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000
3.013,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000
3.063,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000
3.113,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000
3.163,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000
3.213,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000
3.264,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000
3.314,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000
3.364,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000
3.414,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000
3.464,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000
3.515,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000
3.565,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000
3.615,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000
3.665,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000
3.715,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000
3.766,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000
3.816,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000,0.000000,0.922661,0.000000
